Producto,Canal,Ubicacion,Fecha,Cantidad
CREMA ENT PAST ACIDA 945ML WM,default,DETALLE,01/01/2022,0
CREMA ENT PAST ACIDA 945ML WM,default,MAYOREO,01/01/2022,0
CREMA ENT PAST ACIDA 945ML WM,default,OTROS,01/01/2022,0
CREMA P/BATIR CB 1LT,default,DETALLE,01/01/2022,8583
CREMA P/BATIR CB 1LT,default,DISTRIBUIDORES,01/01/2022,300
CREMA P/BATIR CB 1LT,default,E-COMMERCE,01/01/2022,400
CREMA P/BATIR CB 1LT,default,FOOD SERVICE,01/01/2022,27668
CREMA P/BATIR CB 1LT,default,GOBIERNO,01/01/2022,0
CREMA P/BATIR CB 1LT,default,MAYOREO,01/01/2022,95
CREMA P/BATIR CB 1LT,default,OTROS,01/01/2022,1064
CREMA P/BATIR CB 1LT,default,PROXIMIDAD,01/01/2022,0
CREMA P/BATIR CB 1LT,default,TIENDAS,01/01/2022,857
CREMA P/BATIR RICH GRANEL,default,FOOD SERVICE,01/01/2022,11271
CREMA PAST DESLACT 200 ML,default,AUTOSERVICIOS,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,DETALLE,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,DISTRIBUIDORES,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,E-COMMERCE,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,FOOD SERVICE,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,GOBIERNO,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,MAYOREO,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,OTROS,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,PROXIMIDAD,01/01/2022,0
CREMA PAST DESLACT 200 ML,default,TIENDAS,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,AUTOSERVICIOS,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,DETALLE,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,DISTRIBUIDORES,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,E-COMMERCE,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,FOOD SERVICE,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,GOBIERNO,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,MAYOREO,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,OTROS,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,PROXIMIDAD,01/01/2022,0
CREMA PAST DESLACT 426 ML,default,TIENDAS,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,AUTOSERVICIOS,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,CLUB DE PRECIOS,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,DETALLE,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,DISTRIBUIDORES,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,E-COMMERCE,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,FOOD SERVICE,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,GOBIERNO,01/01/2022,0
CREMA PAST DESLACT 900 ML,default,MAYOREO,01/01/2022,0
