*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS,U_ACTIVO
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,27,24/06/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,36,01/07/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,25,08/07/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,28,15/07/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,18,22/07/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,31,29/07/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,22,05/08/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,15,12/08/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,30,19/08/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,30,26/08/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,94,01/01/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,78,08/01/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,226,15/01/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,Cleanse History,125.6666667,15/01/2024,2,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,128,22/01/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
