*DmdUnit,*DmdGroup,*Loc,*StartDate,Qty,*Event
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/12/2022,415,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/01/2023,781,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/01/2023,449,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/01/2023,860,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/01/2023,484,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/01/2023,498,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/02/2023,415,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/02/2023,850,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/02/2023,325.3333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/02/2023,554,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/02/2023,575,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/03/2023,622,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/03/2023,657,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/03/2023,785,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/03/2023,571,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/04/2023,580,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/04/2023,448,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/04/2023,749,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/04/2023,622,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/05/2023,588,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/05/2023,451,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/05/2023,709,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/05/2023,1392,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/05/2023,713.5,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/05/2023,576,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/06/2023,725,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/06/2023,1022,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/06/2023,556,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/06/2023,758,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/07/2023,381,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/07/2023,582,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/07/2023,652,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/07/2023,532,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/07/2023,514,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/08/2023,772,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/08/2023,857,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/08/2023,565,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/08/2023,619,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/09/2023,705,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/09/2023,748,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/09/2023,616,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/09/2023,777,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,02/10/2023,658,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,09/10/2023,514,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,16/10/2023,732,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,23/10/2023,536,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,30/10/2023,638,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,06/11/2023,460,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,13/11/2023,469,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/11/2023,585,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/11/2023,507,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/12/2023,718,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/12/2023,462,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/12/2023,554,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/12/2023,751,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/12/2023,191.1666667,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,04/01/2021,123,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,11/01/2021,98,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,18/01/2021,107,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,25/01/2021,121,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,01/02/2021,98,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,08/02/2021,73,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,15/02/2021,144,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,22/02/2021,62,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,01/03/2021,87,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,08/03/2021,132,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,15/03/2021,143,AGGREGATED WEEKLY
