Producto,Desc_Producto,Familia_Producto,Categoria,Segmentacion_Producto,Ubicacion,Desc_Ubicacion,Origen_Abasto,OverrideClasificacionABCD,Override_Min_Politica_Inventarios,Override_Max_Politica_Inventarios,Medida_Override,Tipo_Override,MargenUnitario,LeadTime_Abasto_Dias,Frecuencia_Revision_Dias,Fill_Rate,MOQ,Tamano_Lote,Unidades_Pallet,Costo_Unidad,Tolerancia_Vida_Util_Dias,Vida_Util_Dias,Unidad_Medida_UOM,Presentacion,Desc_Empaque_UOM_Base,Unidades_Empaque,Cantidad_Demanda_Indirecta,Nivel_OA
2068,ZAPATO CDA D002 NARANJA 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2069,ZAPATO CDA D002 NARANJA 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2070,ZAPATO CDA D002 NARANJA 25.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2071,ZAPATO CDA D002 NARANJA 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2072,ZAPATO CDA D002 NARANJA 26.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2073,ZAPATO CDA D002 NARANJA 27,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
1568,ZAPATO CDA D003 NEGRO 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
2414,ZAPATO CDA D003 NEGRO 23.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
1569,ZAPATO CDA D003 NEGRO 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
2415,ZAPATO CDA D003 NEGRO 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
